feature,importance
Age,0.14429496295964572
FarePerPerson,0.1313361547223092
Fare,0.12751648802945023
Title_Mr,0.09071010673795937
Sex_male,0.08828357678768879
Sex_female,0.08195363429129386
Pclass,0.04708465480339463
FamilySize,0.035697179454902465
CabinKnown,0.029424829982245316
SibSp,0.025271318535307327
Title_Mrs,0.024093688877475247
Title_Miss,0.022195080916146727
Parch,0.01716955480671479
Deck_C,0.016701393774946158
Embarked_S,0.014439917163206173
AgeGroup_YoungAdult,0.01214314618268149
AgeGroup_Adult,0.010882493835503054
Embarked_C,0.010420185708684544
IsAlone,0.008962016103153711
AgeGroup_Child,0.008667808699735572
Deck_E,0.0078021738110863065
Title_Master,0.007143107409418986
Embarked_Q,0.007143015740315669
Deck_D,0.006861742322043684
AgeGroup_Teen,0.006817479803399061
Title_Rare,0.005182698300648802
Deck_B,0.003829091670785106
Deck_A,0.002739968682116961
AgeGroup_Senior,0.0026724143315900316
Deck_F,0.0011900188644847138
Deck_G,0.0010357133220277243
Deck_T,0.0003343833696386174
